valor;descricao;local;bairro/cidade;quartos;garagem;banheiro;area(m2);iptu;condominio;novidade;suite;acabamento
480000;Casa de 3 dormitórios com 2 vagas de garagem , no bairro Partenon em Porto Alegre, próximo a PUCRS. Ótima casa nova construída em 2018, a uma quadra da Puc e quase esquina com a ru...;Rua Honório Lemos; Vila João Pessoa;3;2;1;100;220;1;Super destaque;0;0
5500000;Lindíssima casa com 640m² de área construída, 4 suítes, escritório, sala multiuso, despensa, dependência de empregado, lareira. Parte inferior com piso térmico. Armários planejados...;Alameda Mamoré; Alphaville Residencial 1;4;4;8;640;1500;940;Super destaque;1;1
600000;Casa a venda bairro Padre Anchieta, 3 dormitórios, sendo 1 suíte, 1 sala social e lavabo, cozinha planejada, 3 salas. Casa nos fundos, garagem para 4 carros. Imóvel misto podendo s...;Conjunto Habitacional Padre Anchieta; Campinas;3;4;2;390;0;0;Super destaque;1;0
350000;Grande oportunidade  Entrada facilitada  Utilize seu FGTS  Imóvel acabamento fino, 2 dormitórios, 1 suíte, 2 banheiros, quintal com churrasqueira, bem arejado, 2 vagas de garagem,...;Rua das Boas Noites; Centro;2;2;2;120;0;0;Nenhuma;1;0
220000;Imóvel amplo no Jardim rivieira, sem escritura.  ;Jardim Riviera; Santo André;3;5;2;185;75;0;Nenhuma;0;0
266000;A casa está localizado no bairro Catiapoa com 74 metros quadrados com 2 quartos sendo 2 suites e 2 banheiros. Está em um condomínio protegido por grades. Muito bem localizada, fica...;Avenida Pérsio de Queirós Filho; Catiapoa;2;7;2;74;140;0;Nenhuma;1;0
250000;SOBRADO VENDA   MARENGO/SUZANO02 DORMITÓRIOS 01 SALA01 COZINHA02 WCÁREA DE SERVIÇO01 GARAGENS;Parque Residencial Marengo; Itaquaquecetuba;2;2;2;220;80;0;Nenhuma;0;0
350000;Sobrado com 3 dormitórios à venda, 120 m² por R$ 350.000   Vila Santos   Caçapava/SP.  Sobrado no bairro Vila Santos, com Sala, Cozinha ampla, 2 quartos na parte térrea, 1 quarto c...;Rua Professor José Francisco Simões dos Santos; Vila Santos;3;2;2;120;0;0;Nenhuma;0;0
100000;A casa no bairro Arembepe (Abrantes) tem 100 metros quadrados com 2 quartos sendo 1 suite e 2 banheiros  Entradas apartir de R$ 10.000,00  maiores informações falar com Drielly...;Alameda Adolfo Mangabeira; Arembepe Abrantes;2;2;2;100;0;0;Nenhuma;1;0
260000;Essa casa no Parque Hipólito é perfeita para você e toda a sua família!  O terreno é de 150m², sendo assim, 130m² são de área construída.  O imóvel está muito bem localizado, assim...;Parque Hippólyto; Limeira;3;1;1;150;0;0;Nenhuma;0;0
385000;Linda casa, composta por dois dormitórios, sendo uma suíte, sala para dois ambientes, cozinha, gourmet, lavanderia, planejados na cozinha, gourmet e banheiros O bairro é excelente,...;Rua Antônio Alberto da Silva; Vila Residencial São Domingos;2;2;2;110;0;0;Nenhuma;1;1
310000;A casa está localizado no bairro Casa Caiada possui 100 metros quadrados com 3 quartos sendo 1 suite e 2 banheiros  Localização ótima, não alaga, rua monitorada, próximo, feira, su...;Casa Caiada; Olinda;3;2;2;100;0;0;Nenhuma;1;0
350000;Grande oportunidade Entrada facilitada Utilize seu FGTS Imóvel acabamento fino, 2 dormitórios, 1 suíte, 2 banheiros, quintal com churrasqueira, bem arejada, 2 vagas de garagem, pró...;Rua Alemanha; Centro;2;2;2;150;0;0;Nenhuma;1;0
