valor;descricao;local;bairro/cidade;quartos;garagem;banheiro;area(m2);iptu;condominio;novidade;suite;academia;varanda;transporte;salao;planejado
240000;Vende ótimo apartamento, na Avenida Protásio Alves. O imóvel é composto por 2 dormitórios sendo 1 com suíte, sala, cozinha integrada com área de serviço, banheiro social, sacada, 1...;Avenida Protásio Alves; Morro Santana;2;1;2;47;531;250;Nenhuma;1;0;1;0;0;0
150000;APARTAMENTO EM AQUIRAZ!!! VALOR DO IMÓVEL: R$ 150.000,00. PRONTA PARA VOCÊ MORAR!!! 65 M² área construída. 02 QUARTOS (01 SUITE) 01 BANHEIRO SOCIAL SALA DE ESTAR / JANTAR COZINHA Á...;; Aquiraz;2;2;2;65;0;1;Nenhuma;1;0;0;0;0;0
320000;O apartamento está localizado no bairro Vila Antonieta tem 54 metros quadrados com 2 quartos sendo 1 suite e 1 banheiro Possui área de fitness, área de recreação infantil, espaço p...;Vila Antonieta; São Paulo;2;1;1;54;0;450;Nenhuma;1;0;0;1;0;0
140000;Apartamento com 02 quartos sendo 01 suíte, sala, varanda, cozinha, Wc social, área de serviço e vaga de garagem  ;Valentina de Figueiredo; João Pessoa;2;1;2;56;0;0;Nenhuma;1;0;1;0;0;0
430000;Apartamento pronto para morar com uma bela varanda, bastante iluminado, com dois dormitórios sendo uma suíte.  Armários planejados na cozinha, área de serviço integrada na varanda,...;Rua Nossa Senhora da Saúde; Jardim Previdência;2;1;2;57;0;650;Nenhuma;1;0;1;0;0;1
590000;Apartamento 2 dormitórios sendo 1 suíte, com ótima disposição de planta e ambientes espaçosos . . .   > > > VARANDA + 1 VAGA DE GARAGEM < < <  Lazer completo para sua família com p...;Rua Cesário Ramalho; Cambuci;2;1;2;63;60;780;Super destaque;1;0;1;0;0;0
0;Ótimo apartamento de 87 m², com dois dormitórios, ampla sala com sacada, cozinha, dois banheiros, área de serviço, uma vaga de garagem, condomínio com salão de festas e portaria 24...;Rua Quintino Bocaiúva; Centro;2;1;2;87;0;850;Super destaque;0;0;1;0;1;0
443000;Limia imóveis vende lindo apartamento Garden de 2 dormitórios com suite, living para 2 ambientes, banheiro social, cozinha com churrasqueira, com ótimo patio integrado, com vaga pa...;Cristo Redentor; Porto Alegre;2;2;2;70;0;160;Super destaque;1;0;0;0;0;0
410000;Excelente apartamento em andar alto com 03 quartos, sendo 01 suíte, sala em 02 ambientes, varanda, banheiro social, cozinha, área de serviço e 01 vaga de garagem. Andar alto e sol...;Rua Professor Heitor Carrilho; Centro;3;1;2;67;175;550;Destaque;1;0;1;0;0;0
369000;Apartamento novo, região nobre (Santana) com toda infraestrutura ao lado (padaria, mercado, restaurantes, etc), com 2 vagas de garagem. A 5 minutos à pé do metrô Santana. 42 metros...;Rua Voluntários da Pátria; Santana;1;2;1;42;0;590;Destaque;0;0;0;1;0;0
