objectid,cl,logradouro,codbairro,bairro,total_transações,uso,média_percentual_transferido,média_área_terreno,média_valor_transação,média_valor_imóvel,principal_transação_mercado,ano_transação
1290668,066571,ETR BARRA DA TIJUCA,128,Barra da Tijuca           ,2,TERRITORIAL,100,843,4650000.01,4650000.01,COMPRA E VENDA,2023
1290669,225557,RUA JAMIL HADDAD,128,Barra da Tijuca           ,3,TERRITORIAL,72.223333,600,1283333.343333,1699900.046666,COMPRA E VENDA,2023
1290670,225680,RUA MARIA AMELIA BUARQUE D HOLANDA,128,Barra da Tijuca           ,2,TERRITORIAL,100,623,2180500.02,2180500.02,COMPRA E VENDA,2023
1290671,131656,CAM PUBLICO PAL 17637,129,Camorim                   ,2,TERRITORIAL,50,12790,797996.795,1595993.59,COMPRA E VENDA,2023
1290672,477620,RUA CARLOS MANGA (DIR D TV),130,Vargem Pequena            ,2,TERRITORIAL,100,401.5,261057.08,261057.08,COMPRA E VENDA,2023
1290673,197434,RUA LECY ALEXANDRE DO CARMO,131,Vargem Grande             ,5,TERRITORIAL,100,268.4,246541.644,246541.644,COMPRA E VENDA,2023
1290674,091330,AVN LUCIO COSTA,132,Recreio dos Bandeirantes  ,2,TERRITORIAL,55,480,1651999.995,3811999.95,COMPRA E VENDA,2023
1290675,095471,AVN DAS AMERICAS,132,Recreio dos Bandeirantes  ,2,TERRITORIAL,100,832.5,4500000,4500000,COMPRA E VENDA,2023
1290676,161091,RUA ALFREDO VOLPI,132,Recreio dos Bandeirantes  ,6,TERRITORIAL,17.076666,3379,501531.906666,104738096.683333,COMPRA E VENDA,2023
1290677,161117,RUA CLEMENTINA DE JESUS,132,Recreio dos Bandeirantes  ,2,TERRITORIAL,100,2862,83551.03,83551.03,COMPRA E VENDA,2023
1290678,188003,AVN CELIA RIBEIRO DA SILVA MENDES,132,Recreio dos Bandeirantes  ,14,TERRITORIAL,100,12162.214285,1062708.069285,1062708.069285,COMPRA E VENDA,2023
1290679,056028,RUA ARAQUEM,141,Bangu,2,TERRITORIAL,100,356,132091.36,132091.36,COMPRA E VENDA,2023
1290680,028183,RUA LARANJEIRAS,143,Santíssimo                ,2,TERRITORIAL,100,10106,701538.63,701538.63,COMPRA E VENDA,2023
1290681,050740,RUA GUANDU MIRIM,143,Santíssimo                ,3,TERRITORIAL,100,13145.666666,1059072.103333,1059072.103333,COMPRA E VENDA,2023
1290682,015263,ETR CACHAMORRA,144,Campo Grande,2,TERRITORIAL,50.78,11784,160397.735,1060888.36,COMPRA E VENDA,2023
1290683,053157,RUA CAMPINA GRANDE,144,Campo Grande,4,TERRITORIAL,100,148.5,47852.935,47852.935,COMPRA E VENDA,2023
